"date","open","high","low","close","diff","volume","price","diffsign","diffratio","code"
"20150102",26800.0,26800.0,26540.0,26600.0,60.0,8774950,230643000000,"2",0.002260738507912585,"005930"
"20150105",26720.0,26720.0,26260.0,26660.0,60.0,10139500,269329000000,"2",0.002255639097744361,"005930"
"20150106",26300.0,26340.0,25760.0,25900.0,-760.0,15235500,396554000000,"5",-0.028507126781695424,"005930"
"20150107",25880.0,26220.0,25640.0,26140.0,240.0,14322750,372136000000,"2",0.009266409266409266,"005930"
"20150108",26780.0,26780.0,26200.0,26280.0,140.0,14477600,376898000000,"2",0.005355776587605204,"005930"
"20150109",26280.0,26440.0,26280.0,26280.0,0.0,9312400,245375000000,"3",0.0,"005930"
"20150112",26260.0,26380.0,26020.0,26320.0,40.0,8325400,218689000000,"2",0.0015220700152207,"005930"
"20150113",26280.0,26800.0,26000.0,26780.0,460.0,12293400,324625000000,"2",0.017477203647416412,"005930"
"20150114",26780.0,27100.0,26700.0,26900.0,120.0,14332250,385455000000,"2",0.004480955937266617,"005930"
"20150115",26900.0,26980.0,26580.0,26680.0,-220.0,14103900,378298000000,"5",-0.008178438661710037,"005930"
"20150116",26680.0,26680.0,26260.0,26320.0,-360.0,13568500,359887000000,"5",-0.013493253373313344,"005930"
"20150119",26580.0,26980.0,26400.0,26860.0,540.0,6672950,179082000000,"2",0.020516717325227966,"005930"
"20150120",27000.0,27440.0,26900.0,27440.0,580.0,13278050,360703000000,"2",0.021593447505584513,"005930"
"20150121",27340.0,27900.0,27200.0,27900.0,460.0,16612650,459314000000,"2",0.016763848396501458,"005930"
"20150122",27960.0,27980.0,27560.0,27560.0,-340.0,17957700,499074000000,"5",-0.012186379928315415,"005930"
"20150123",28000.0,28000.0,27540.0,27720.0,160.0,12858750,356850000000,"2",0.005805515239477504,"005930"
"20150126",27500.0,27900.0,27280.0,27780.0,60.0,10153500,280899000000,"2",0.0021645021645021645,"005930"
"20150127",27500.0,28000.0,27480.0,28000.0,220.0,9957200,277628000000,"2",0.007919366450683946,"005930"
"20150128",27720.0,27800.0,27480.0,27560.0,-440.0,10831500,298883000000,"5",-0.015714285714285715,"005930"
"20150129",27360.0,27900.0,27140.0,27200.0,-360.0,13702250,375892000000,"5",-0.013062409288824383,"005930"
"20150130",27200.0,27540.0,27200.0,27300.0,100.0,16110000,440683000000,"2",0.003676470588235294,"005930"
"20150202",27300.0,27540.0,27120.0,27360.0,60.0,10521000,287299000000,"2",0.002197802197802198,"005930"
"20150203",27600.0,27600.0,27180.0,27320.0,-40.0,5654400,154947000000,"5",-0.0014619883040935672,"005930"
"20150204",27500.0,27620.0,27180.0,27180.0,-140.0,9328900,255507000000,"5",-0.0051244509516837474,"005930"
"20150205",27180.0,27380.0,26920.0,27160.0,-20.0,6770400,183487000000,"5",-0.0007358351729212656,"005930"
"20150206",26920.0,27480.0,26720.0,27440.0,280.0,8005050,217905000000,"2",0.010309278350515464,"005930"
"20150209",27200.0,27980.0,27140.0,27900.0,460.0,8693500,240813000000,"2",0.016763848396501458,"005930"
"20150210",28000.0,28000.0,27540.0,27560.0,-340.0,6519350,181080000000,"5",-0.012186379928315415,"005930"
"20150211",27480.0,27480.0,27080.0,27100.0,-460.0,9973800,271350000000,"5",-0.016690856313497822,"005930"
"20150212",26800.0,27160.0,26620.0,26880.0,-220.0,10748200,288231000000,"5",-0.008118081180811807,"005930"
"20150213",27200.0,27220.0,26900.0,27220.0,340.0,6522900,176813000000,"2",0.012648809523809524,"005930"
